id,isna_age,iszero_fare
517,True,False
525,False,False
528,False,False
534,False,False
536,False,False
537,False,False
539,False,False
540,False,False
541,False,False
543,False,False
544,False,False
546,False,False
547,True,False
548,False,False
550,False,False
551,False,False
552,True,False
554,False,False
555,False,False
556,False,False
559,False,False
560,True,False
562,False,False
565,False,False
568,True,False
569,False,False
571,False,False
574,False,False
575,False,False
576,False,False
577,False,False
579,False,False
581,False,False
582,False,False
584,True,False
586,False,False
589,True,False
590,False,False
591,False,False
593,True,False
594,False,False
595,False,False
598,True,False
599,False,False
600,False,False
601,True,False
602,True,False
604,False,False
605,False,False
606,False,False
607,False,False
608,False,False
610,False,False
611,True,False
613,True,False
616,False,False
617,False,False
621,False,False
622,False,False
623,False,False
624,False,False
628,False,False
629,True,False
630,False,False
633,True,True
636,False,False
637,False,False
639,True,False
640,False,False
641,False,False
645,False,False
649,False,False
651,False,False
659,False,False
660,False,False
661,False,False
662,False,False
663,False,False
664,False,False
665,False,False
667,True,False
668,False,False
670,False,False
673,False,False
675,False,False
677,False,False
679,False,False
682,False,False
684,False,False
685,False,False
687,False,False
689,False,False
690,False,False
691,False,False
692,True,False
696,False,False
697,True,False
699,False,False
702,False,False
703,False,False
705,False,False
707,False,False
709,True,False
711,True,False
714,False,False
716,False,False
717,False,False
719,False,False
721,False,False
723,False,False
729,False,False
730,False,False
732,True,True
733,False,False
734,False,False
736,False,False
737,False,False
739,True,False
741,False,False
743,False,False
745,False,False
746,False,False
747,False,False
748,False,False
749,False,False
751,False,False
754,False,False
755,False,False
756,False,False
757,False,False
758,False,False
759,False,False
763,False,False
765,False,False
767,False,False
770,False,False
772,False,False
773,True,False
774,False,False
775,False,False
776,True,False
777,False,False
779,False,False
781,False,False
783,True,False
789,False,False
790,True,False
791,False,False
792,True,False
793,True,False
794,False,False
795,False,False
797,False,False
798,False,False
801,False,False
802,False,False
804,False,False
805,False,False
809,False,False
812,False,False
814,False,False
821,False,False
824,False,False
826,True,False
828,True,False
829,False,False
830,False,False
831,False,False
834,False,False
835,False,False
836,False,False
840,False,False
842,False,False
844,False,False
845,False,False
846,True,False
847,False,False
849,True,False
850,False,False
853,False,False
854,False,False
855,False,False
856,False,False
858,False,False
860,False,False
861,False,False
863,True,False
865,False,False
867,False,False
868,True,False
869,False,False
871,False,False
872,False,False
873,False,False
874,False,False
879,False,False
884,False,False
888,True,False
0,False,False
1,False,False
2,False,False
5,True,False
6,False,False
8,False,False
10,False,False
12,False,False
14,False,False
15,False,False
17,True,False
18,False,False
20,False,False
21,False,False
22,False,False
27,False,False
30,False,False
31,True,False
34,False,False
35,False,False
37,False,False
38,False,False
39,False,False
40,False,False
45,True,False
46,True,False
48,True,False
49,False,False
50,False,False
51,False,False
52,False,False
54,False,False
55,True,False
60,False,False
62,False,False
64,True,False
65,True,False
66,False,False
68,False,False
71,False,False
74,False,False
75,False,False
76,True,False
77,True,False
78,False,False
79,False,False
81,False,False
85,False,False
89,False,False
90,False,False
92,False,False
96,False,False
97,False,False
100,False,False
101,True,False
102,False,False
103,False,False
104,False,False
105,False,False
107,True,False
108,False,False
109,True,False
113,False,False
116,False,False
118,False,False
122,False,False
124,False,False
127,False,False
132,False,False
133,False,False
140,True,False
141,False,False
142,False,False
144,False,False
145,False,False
150,False,False
154,True,False
155,False,False
156,False,False
157,False,False
158,True,False
159,True,False
161,False,False
162,False,False
165,False,False
167,False,False
170,False,False
171,False,False
172,False,False
173,False,False
175,False,False
178,False,False
179,False,True
181,True,False
185,True,False
187,False,False
188,False,False
190,False,False
193,False,False
194,False,False
196,True,False
198,True,False
200,False,False
202,False,False
204,False,False
205,False,False
206,False,False
208,False,False
210,False,False
211,False,False
214,True,False
215,False,False
218,False,False
220,False,False
222,False,False
223,True,False
229,True,False
230,False,False
231,False,False
233,False,False
235,True,False
236,False,False
238,False,False
239,False,False
240,True,False
241,True,False
242,False,False
243,False,False
245,False,False
247,False,False
249,False,False
250,True,False
251,False,False
252,False,False
253,False,False
255,False,False
258,False,False
261,False,False
262,False,False
263,False,True
264,True,False
266,False,False
267,False,False
268,False,False
270,True,False
271,False,True
272,False,False
278,False,False
279,False,False
283,False,False
285,False,False
293,False,False
294,False,False
298,True,False
299,False,False
301,True,False
302,False,True
303,True,False
304,True,False
306,True,False
308,False,False
309,False,False
310,False,False
311,False,False
312,False,False
313,False,False
315,False,False
316,False,False
317,False,False
318,False,False
319,False,False
320,False,False
327,False,False
331,False,False
333,False,False
334,True,False
337,False,False
338,False,False
342,False,False
344,False,False
345,False,False
346,False,False
350,False,False
351,True,False
352,False,False
354,True,False
356,False,False
358,True,False
361,False,False
362,False,False
363,False,False
364,True,False
366,False,False
367,True,False
372,False,False
374,False,False
375,True,False
378,False,False
379,False,False
380,False,False
382,False,False
384,True,False
386,False,False
389,False,False
390,False,False
391,False,False
392,False,False
395,False,False
397,False,False
399,False,False
401,False,False
402,False,False
403,False,False
406,False,False
408,False,False
409,True,False
412,False,False
413,True,True
416,False,False
418,False,False
420,True,False
422,False,False
424,False,False
425,True,False
428,True,False
432,False,False
434,False,False
436,False,False
439,False,False
440,False,False
441,False,False
443,False,False
447,False,False
451,True,False
452,False,False
453,False,False
456,False,False
457,True,False
458,False,False
460,False,False
462,False,False
465,False,False
467,False,False
471,False,False
474,False,False
475,True,False
476,False,False
477,False,False
479,False,False
481,True,True
482,False,False
483,False,False
484,False,False
485,True,False
487,False,False
489,False,False
491,False,False
492,False,False
493,False,False
494,False,False
495,True,False
496,False,False
500,False,False
501,False,False
503,False,False
505,False,False
506,False,False
511,True,False
513,False,False
516,False,False
518,False,False
519,False,False
520,False,False
521,False,False
522,True,False
523,False,False
524,True,False
526,False,False
527,True,False
529,False,False
530,False,False
531,True,False
532,False,False
533,True,False
535,False,False
538,True,False
542,False,False
545,False,False
549,False,False
553,False,False
557,True,False
558,False,False
561,False,False
563,True,False
564,True,False
566,False,False
567,False,False
570,False,False
572,False,False
573,True,False
578,True,False
580,False,False
583,False,False
585,False,False
587,False,False
588,False,False
592,False,False
596,True,False
597,False,True
603,False,False
609,False,False
612,True,False
614,False,False
615,False,False
618,False,False
619,False,False
620,False,False
625,False,False
626,False,False
627,False,False
631,False,False
632,False,False
634,False,False
635,False,False
638,False,False
642,False,False
643,True,False
644,False,False
646,False,False
647,False,False
648,True,False
650,True,False
652,False,False
653,True,False
654,False,False
655,False,False
656,True,False
657,False,False
658,False,False
666,False,False
669,True,False
671,False,False
672,False,False
674,True,True
676,False,False
678,False,False
680,True,False
681,False,False
683,False,False
686,False,False
688,False,False
693,False,False
694,False,False
695,False,False
698,False,False
700,False,False
701,False,False
704,False,False
706,False,False
708,False,False
710,False,False
712,False,False
713,False,False
715,False,False
718,True,False
720,False,False
722,False,False
724,False,False
725,False,False
726,False,False
727,True,False
728,False,False
731,False,False
735,False,False
738,True,False
740,True,False
742,False,False
744,False,False
750,False,False
752,False,False
753,False,False
760,True,False
761,False,False
762,False,False
764,False,False
766,True,False
768,True,False
769,False,False
771,False,False
778,True,False
780,False,False
782,False,False
784,False,False
785,False,False
786,False,False
787,False,False
788,False,False
796,False,False
799,False,False
800,False,False
803,False,False
806,False,True
807,False,False
808,False,False
810,False,False
811,False,False
813,False,False
815,True,True
816,False,False
817,False,False
818,False,False
819,False,False
820,False,False
822,False,True
823,False,False
825,True,False
827,False,False
832,True,False
833,False,False
837,True,False
838,False,False
839,True,False
841,False,False
843,False,False
848,False,False
851,False,False
852,False,False
857,False,False
859,True,False
862,False,False
864,False,False
866,False,False
870,False,False
875,False,False
876,False,False
877,False,False
878,True,False
880,False,False
881,False,False
882,False,False
883,False,False
885,False,False
886,False,False
887,False,False
889,False,False
890,False,False
